PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
URQ413;META;VILLAVICENCI;PUBLICO
HSQ413;RISARALDA;LA VIRGINIA;PARTICULAR
SSQ412;CUNDINAMARCA;FUSAGASUGA;PUBLICO
BTQ412;SANTANDER;BUCARAMANGA;PARTICULAR
JTQ413;TOLIMA;FRESNO;PARTICULAR
CVQ414;MAGDALENA;CIENAGA;PARTICULAR
KZQ414;ANTIOQUIA;BELLO;PARTICULAR
RAR415;ATLANTICO;BARRANQUILLA;PARTICULAR
RBR415;ATLANTICO;BARRANQUILLA;PARTICULAR
CCR414;VALLE;CALI;PARTICULAR
CCR418;VALLE;CALI;PARTICULAR
ICR415;SANTANDER;BUCARAMANGA;PARTICULAR
NCR419;CAUCA;PUERTO TEJAD;PARTICULAR
RCR413;ATLANTICO;BARRANQUILLA;PARTICULAR
RCR416;ATLANTICO;BARRANQUILLA;PARTICULAR
UCR419;BOLIVAR;MAGANGUE;PUBLICO
CDR414;VALLE;CALI;PARTICULAR
JER418;BOYACA;GUATEQUE;PARTICULAR
KER415;ANTIOQUIA;MEDELLIN;PARTICULAR
KER416;ANTIOQUIA;MEDELLIN;PARTICULAR
KER418;ANTIOQUIA;MEDELLIN;PARTICULAR
IFR419;ANTIOQUIA;TURBO;PARTICULAR
TFR419;META;ACACIAS;PUBLICO
THR410;ANTIOQUIA;MEDELLIN;PUBLICO
THR416;ANTIOQUIA;MEDELLIN;PUBLICO
KIR419;VALLE;GUACARI;PARTICULAR
NIR411;VALLE;BUGA;PARTICULAR
NIR413;VALLE;BUGA;PARTICULAR
JLR412;TOLIMA;GUAYABAL;PARTICULAR
IMR412;SANTANDER;BARRANCABERM;PARTICULAR
RMR413;VALLE;ROLDANILLO;PARTICULAR
INR412;CASANARE;YOPAL;PARTICULAR
KOR417;VALLE;GUACARI;PARTICULAR
MPR413;CUNDINAMARCA;MOSQUERA;PARTICULAR
UPR418;CORDOBA;MONTERIA;PUBLICO
IRR419;SANTANDER;SOCORRO;PARTICULAR
