RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
LVO000;LVU999;ANTIOQUIA;BOLIVAR;PARTICULAR
LWA000;LWJ999;ANTIOQUIA;ENVIGADO;PARTICULAR
LXA000;LXJ999;ANTIOQUIA;ENVIGADO;PARTICULAR
LYA000;LYF300;ANTIOQUIA;ENVIGADO;PARTICULAR
LYF301;LYH300;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
LYH301;LYI000;ANTIOQUIA;ENVIGADO;PARTICULAR
LYJ000;LYJ999;ANTIOQUIA;ENVIGADO;PARTICULAR
LZE000;LZE625;ANTIOQUIA;ANDES;PARTICULAR
MAA000;MAJ999;VALLE;CALI;PARTICULAR
MAK000;MAT999;CALDAS;MANIZALES;PARTICULAR
MAV000;MAV499;CALDAS;MANZANARES;PARTICULAR
MBA000;MBJ999;VALLE;CALI;PARTICULAR
